url,status,status_text,response_ms,redirect_count,final_url,title,title_len,desc,h1_count,h1,canonical,robots_meta,noindex,images_total,img_alt_missing,word_count,has_json_ld,has_hreflang,has_microdata,og_title,og_desc,twitter_card,links_internal,links_external,issues
https://genesismotiondesign.com/case-studies/birthday-sale/,200,,798,0,https://genesismotiondesign.com/case-studies/birthday-sale/,Birthday Sale — Genesis Motion Design,37,Explore Birthday Sale by Genesis Motion Design.,1,Birthday Sale,https://genesismotiondesign.com/case-studies/birthday-sale/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",False,3,0,291,True,False,False,Birthday Sale — Genesis Motion Design,Explore Birthday Sale by Genesis Motion Design.,summary_large_image,16,11,DESC_TOO_SHORT(47); THIN_CONTENT(291)
https://genesismotiondesign.com/3-augmented-reality-ar-trends-to-explore/,200,,790,0,https://genesismotiondesign.com/3-augmented-reality-ar-trends-to-explore/,Top Augmented Reality Trends in Singapore — Genesis Motion Design,65,"From Instagram AR filters to immersive shopping, check out these augmented reality trends in Singapore before prepping for your next campaign!",1,3 Augmented Reality (AR) trends to explore,https://genesismotiondesign.com/3-augmented-reality-ar-trends-to-explore/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",False,6,0,1094,True,False,True,Top Augmented Reality Trends in Singapore — Genesis Motion Design,"From Instagram AR filters to immersive shopping, check out these augmented reality trends in Singapore before prepping for your next campaign!",summary_large_image,21,14,TITLE_TOO_LONG(65)
https://genesismotiondesign.com/category/process/,200,,281,0,https://genesismotiondesign.com/category/process/,Process Archives — Genesis Motion Design,40,Browse Process articles and insights from Genesis Motion Design.,1,Category:,https://genesismotiondesign.com/category/process/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",False,3,0,460,True,False,False,Process Archives — Genesis Motion Design,Browse Process articles and insights from Genesis Motion Design.,summary_large_image,54,11,DESC_TOO_SHORT(64)
https://genesismotiondesign.com/ar-filters-boosting-marketing-campaigns-in-singapore/,200,,278,0,https://genesismotiondesign.com/ar-filters-boosting-marketing-campaigns-in-singapore/,AR Filters: Boosting marketing campaigns in Singapore,53,"Boost your marketing campaigns with Instagram AR filters and web AR solutions from Genesis Motion Design, Singapore creative technology studio.",1,AR Filters: Boosting marketing campaigns in Singapore,https://genesismotiondesign.com/ar-filters-boosting-marketing-campaigns-in-singapore/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",False,6,1,1024,True,False,True,AR Filters: Boosting marketing campaigns in Singapore,"Boost your marketing campaigns with Instagram AR filters and web AR solutions from Genesis Motion Design, Singapore creative technology studio.",summary_large_image,21,12,IMG_ALT_MISSING(1)
https://genesismotiondesign.com/unlock-the-power-of-2d-animated-infographics-for-marketing/,200,,411,0,https://genesismotiondesign.com/unlock-the-power-of-2d-animated-infographics-for-marketing/,"2D Animated Infographics for Marketing: Examples, Benefits & Tips",65,"See how 2D animated infographics boost engagement and retention in marketing. Real examples, key benefits, and practical tips for your next campaign.",1,Unlock the power of 2D Animated Infographics for marketing,https://genesismotiondesign.com/unlock-the-power-of-2d-animated-infographics-for-marketing/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",False,6,0,1063,True,False,True,"2D Animated Infographics for Marketing: Examples, Benefits & Tips","See how 2D animated infographics boost engagement and retention in marketing. Real examples, key benefits, and practical tips for your next campaign.",summary_large_image,27,12,TITLE_TOO_LONG(65)
https://genesismotiondesign.com/case-studies/lunar-new-year/,200,,68,0,https://genesismotiondesign.com/case-studies/lunar-new-year/,Lunar New Year — Genesis Motion Design,38,Explore Lunar New Year by Genesis Motion Design.,1,Lunar New Year,https://genesismotiondesign.com/case-studies/lunar-new-year/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",False,3,0,285,True,False,False,Lunar New Year — Genesis Motion Design,Explore Lunar New Year by Genesis Motion Design.,summary_large_image,14,11,DESC_TOO_SHORT(48); THIN_CONTENT(285)
https://genesismotiondesign.com/levelling-up-a-guide-to-winning-esports-marketing-campaigns/,200,,108,0,https://genesismotiondesign.com/levelling-up-a-guide-to-winning-esports-marketing-campaigns/,Levelling Up: A Guide to Winning eSports Marketing Campaigns,60,,1,Levelling Up: A Guide to Winning eSports Marketing Campaigns,https://genesismotiondesign.com/levelling-up-a-guide-to-winning-esports-marketing-campaigns/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",False,6,0,1112,True,False,True,Levelling Up: A Guide to Winning eSports Marketing Campaigns,,summary_large_image,19,13,DESC_MISSING; OG_DESC_MISSING
https://genesismotiondesign.com/sg/contact/,200,,365,0,https://genesismotiondesign.com/sg/contact/,Contact Us for Motion Graphics: Worldwide and Singapore,55,"Contact us to discuss your motion graphics needs. Whether you have questions or a burning idea, we're here to help.",1,Let's set the path ahead ablaze.,https://genesismotiondesign.com/sg/contact/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",False,3,0,490,True,True,False,Contact Us for Motion Graphics: Worldwide and Singapore,"Contact us to discuss your motion graphics needs. Whether you have questions or a burning idea, we're here to help.",summary_large_image,9,15,
https://genesismotiondesign.com/case-studies/5g-unboxed/,200,,675,0,https://genesismotiondesign.com/case-studies/5g-unboxed/,5G Unboxed — Genesis Motion Design,34,Explore 5G Unboxed by Genesis Motion Design.,1,5G Unboxed,https://genesismotiondesign.com/case-studies/5g-unboxed/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",False,3,0,280,True,False,False,5G Unboxed — Genesis Motion Design,Explore 5G Unboxed by Genesis Motion Design.,summary_large_image,16,11,DESC_TOO_SHORT(44); THIN_CONTENT(280)
https://genesismotiondesign.com/case-studies/circle-of-discovery/,200,,60,0,https://genesismotiondesign.com/case-studies/circle-of-discovery/,Circle of Discovery — Genesis Motion Design,43,Explore Circle of Discovery by Genesis Motion Design.,1,Circle of Discovery,https://genesismotiondesign.com/case-studies/circle-of-discovery/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",False,3,0,302,True,False,False,Circle of Discovery — Genesis Motion Design,Explore Circle of Discovery by Genesis Motion Design.,summary_large_image,16,11,DESC_TOO_SHORT(53)
